département;vitesse max autorisée;autre véhicule;indéterminable;indéterminé;vehicules deux roues;vehicules leger;vehicules lourd;gravité indéterminé;indemne;tué;blessé hospitalisé;blessé léger;autre;hommes;femmes;jeune;adulte;senior;conducteur;passager;piéton;clustering kmeans
Guadeloupe;59.97191697191697;0.015873015873015872;0.009768009768009768;0.0006105006105006105;0.452991452991453;1.1153846153846154;0.10866910866910867;0.003663003663003663;0.9542124542124543;0.12942612942612944;0.5293040293040293;0.7612942612942613;0.02442002442002442;1.626984126984127;0.7264957264957265;0.2564102564102564;1.716117216117216;0.37545787545787546;1.6794871794871795;0.47374847374847373;0.22466422466422467;1
Guyane;55.03800856531049;0.010706638115631691;0.010171306209850108;0.0;0.7103854389721628;0.961456102783726;0.11777301927194861;0.0032119914346895075;1.0053533190578159;0.07334047109207709;0.35813704496788007;0.9630620985010707;0.03747323340471092;1.6054603854389722;0.7601713062098501;0.3169164882226981;1.8297644539614561;0.20985010706638116;1.7837259100642398;0.487152034261242;0.1322269807280514;2
Haut-Rhin;63.17911479944675;0.006915629322268326;0.006224066390041493;0.0;0.45919778699861685;1.0103734439834025;0.17289073305670816;0.003457814661134163;0.9287690179806363;0.07123098201936376;0.5020746887966805;0.7240663900414938;0.012448132780082987;1.4612724757952973;0.7558782849239281;0.3188105117565698;1.4730290456431536;0.42323651452282157;1.632088520055325;0.4280774550484094;0.169432918395574;1
Haute-Corse;61.25151777970512;0.005203816131830009;0.0026019080659150044;0.0;0.4137033824804857;1.181266261925412;0.15871639202081528;0.0008673026886383347;0.9453599306157849;0.055507372072853424;0.396357328707719;1.0346921075455333;0.01821335646140503;1.554206418039896;0.8603642671292281;0.2966175195143105;1.6600173460537728;0.4562012142237641;1.7398091934084996;0.5706851691240243;0.1222896790980052;1
Haute-Garonne;60.25956182695878;0.005941329372447085;0.003713330857779428;0.0;0.4712216858522094;1.0746379502413665;0.18195321203119197;0.0014853323431117712;0.9550686966208689;0.08466394355737096;0.46453769030820646;0.7690308206461196;0.031191979205347196;1.525807649461567;0.7177868548087635;0.227255848496101;1.6765688822874119;0.33531377645748234;1.7099888600074267;0.3988117341255106;0.16598588934274044;1
Haute-Loire;62.174216027874564;0.0017421602787456446;0.003484320557491289;0.0;0.41986062717770034;0.9303135888501742;0.18641114982578397;0.0;0.7543554006968641;0.12717770034843207;0.7177700348432056;0.554006968641115;0.003484320557491289;1.4581881533101044;0.6916376306620209;0.3554006968641115;1.3031358885017421;0.4912891986062718;1.5331010452961673;0.4878048780487805;0.13240418118466898;0
Haute-Marne;71.46623093681917;0.002178649237472767;0.006535947712418301;0.0;0.32461873638344224;0.971677559912854;0.22004357298474944;0.0;0.710239651416122;0.12636165577342048;0.5403050108932462;0.6993464052287581;0.010893246187363835;1.4030501089324618;0.6623093681917211;0.25272331154684097;1.34640522875817;0.46187363834422657;1.5054466230936818;0.4596949891067538;0.1111111111111111;0
Haute-Savoie;58.422900763358776;0.00916030534351145;0.0035623409669211198;0.0010178117048346056;0.48193384223918573;1.075826972010178;0.15419847328244274;0.0;1.008142493638677;0.08549618320610687;0.5053435114503817;0.7099236641221374;0.01272264631043257;1.5801526717557253;0.716030534351145;0.28346055979643764;1.640203562340967;0.36743002544529263;1.7068702290076336;0.4371501272264631;0.1648854961832061;1
Haute-Saône;65.07888631090488;0.0;0.0;0.0;0.42923433874709976;0.9698375870069605;0.1554524361948956;0.0;0.7378190255220418;0.16705336426914152;0.7749419953596288;0.4060324825986079;0.002320185614849188;1.419953596287703;0.6635730858468677;0.33874709976798145;1.2366589327146171;0.505800464037123;1.5475638051044083;0.41299303944315546;0.12529002320185614;0
Haute-Vienne;57.39106487148103;0.0055079559363525096;0.0;0.0;0.38555691554467564;1.0973072215422277;0.16034271725826194;0.0;0.8739290085679314;0.046511627906976744;0.3157894736842105;0.8873929008567931;0.01346389228886169;1.306609547123623;0.8035495716034272;0.23561811505507957;1.4810281517747859;0.39106487148102814;1.6340269277845778;0.34761321909424725;0.1419828641370869;1
Hautes-Alpes;61.15861344537815;0.0021008403361344537;0.0;0.0;0.4422268907563025;1.0451680672268908;0.148109243697479;0.0;0.9128151260504201;0.052521008403361345;0.4170168067226891;0.9663865546218487;0.0031512605042016808;1.4894957983193278;0.8560924369747899;0.3403361344537815;1.4726890756302522;0.5294117647058824;1.6271008403361344;0.5913865546218487;0.13025210084033614;1
Hautes-Pyrénées;61.61303191489362;0.006648936170212766;0.003989361702127659;0.0;0.4787234042553192;1.0199468085106382;0.1502659574468085;0.0;0.8430851063829787;0.07446808510638298;0.4773936170212766;0.8151595744680851;0.014627659574468085;1.3976063829787233;0.7978723404255319;0.29521276595744683;1.375;0.5226063829787234;1.6502659574468086;0.43351063829787234;0.12632978723404256;1
Hauts-de-Seine;53.11052688056658;0.011267303358729478;0.005365382551775942;0.0;0.5968451550595557;0.9351861787745466;0.19637300139499947;0.0017169224165683014;1.0076188432235218;0.010301534499409808;0.08767035089601889;1.0563365167936474;0.030904603498229422;1.5562828629681296;0.5764567013628071;0.16632685910505418;1.7199270307972958;0.242193368387166;1.7182101083807275;0.2404764459705977;0.20495761347784097;2
Hérault;61.610399689561504;0.004656577415599534;0.0015521924718665113;0.0;0.4544043461389212;1.090803259604191;0.17190531625921615;0.0007760962359332557;0.930151338766007;0.09934031819945673;0.593325572370974;0.7427240977881258;0.018626309662398137;1.5793558401241754;0.7683352735739232;0.2479627473806752;1.6961583236321305;0.40085370585952657;1.6980985642219635;0.4819557625145518;0.18626309662398138;1
Ille-et-Vilaine;60.2787550744249;0.006089309878213802;0.004397834912043302;0.0;0.40358592692828144;1.1326116373477673;0.17658998646820026;0.00033829499323410016;0.9901894451962111;0.055818673883626525;0.324424898511502;0.9015561569688768;0.019959404600811907;1.4604194857916102;0.7919485791610285;0.2449255751014885;1.6867388362652234;0.31495263870094725;1.7053450608930987;0.41069012178619757;0.15629228687415425;1
Indre;68.26303317535545;0.0071090047393364926;0.004739336492890996;0.0;0.35545023696682465;1.0071090047393365;0.16113744075829384;0.002369668246445498;0.7962085308056872;0.13033175355450238;0.6800947867298578;0.5260663507109005;0.023696682464454975;1.457345971563981;0.6540284360189573;0.27014218009478674;1.338862559241706;0.5023696682464455;1.5213270142180095;0.45734597156398105;0.15639810426540285;0
Indre-et-Loire;56.98470209339774;0.005233494363929146;0.004428341384863124;0.0;0.38405797101449274;1.1288244766505635;0.14130434782608695;0.00040257648953301127;0.9698067632850241;0.04508856682769726;0.29589371980676327;0.9158615136876006;0.024154589371980676;1.3735909822866346;0.8293075684380032;0.29347826086956524;1.568438003220612;0.33776167471819646;1.6388888888888888;0.44605475040257647;0.14210950080515297;1
Isère;63.74167623421355;0.008802143130501339;0.003444316877152698;0.0;0.385380788365863;1.097206276310754;0.19173363949483352;0.0007654037504783774;0.8805970149253731;0.08610792192881746;0.5778798316111748;0.7826253348641409;0.024492920015308076;1.5621890547263682;0.7412935323383084;0.3207041714504401;1.5690776884806736;0.4079601990049751;1.6659012629161882;0.500956754688098;0.16111748947569843;1
Jura;71.83811475409836;0.0;0.0;0.0;0.3770491803278688;1.014344262295082;0.15368852459016394;0.0;0.7540983606557377;0.15368852459016394;0.7540983606557377;0.5450819672131147;0.0;1.4344262295081966;0.7725409836065574;0.319672131147541;1.4241803278688525;0.45901639344262296;1.540983606557377;0.555327868852459;0.11065573770491803;0
